0 0     -3.859900e+02 3.871200e+02
5 5780     -4.778900e+02 -4.994301e+02
0 5781     6.270200e+02 1.674900e+02
2 5781     5.254800e+02 1.608200e+02
9 5781     3.095100e+02 2.349000e+02
15 5781     8.259800e+02 4.572300e+02
0 5782     7.390200e+02 1.676200e+02
2 5782     6.416899e+02 2.119500e+02
6 5782     5.761400e+02 3.718900e+02
7 5782     5.644500e+02 3.673500e+02
10 5782     7.549800e+02 4.160000e+02
0 5783     6.936801e+02 1.665900e+02
6 5783     5.236100e+02 3.549100e+02
7 5783     5.203900e+02 3.581200e+02
9 5783     3.676400e+02 2.620900e+02
10 5783     7.002800e+02 4.100200e+02
0 5784     6.090200e+02 1.653900e+02
6 5784     4.232600e+02 3.235600e+02
8 5784     4.750000e+02 9.392001e+01
9 5784     2.929700e+02 2.243300e+02
10 5784     6.011100e+02 3.991100e+02
12 5784     5.067100e+02 3.322800e+02
15 5784     8.009200e+02 4.515000e+02
0 5785     6.090200e+02 1.653900e+02
6 5785     4.232600e+02 3.235600e+02
8 5785     4.750000e+02 9.392001e+01
10 5785     6.011100e+02 3.991100e+02
15 5785     8.009200e+02 4.515000e+02
0 5786     7.229200e+02 1.649600e+02
2 5786     6.265200e+02 2.025500e+02
6 5786     5.583900e+02 3.639200e+02
12 5786     6.377600e+02 3.747000e+02
0 5787     -8.203900e+02 1.635600e+02
5 5787     -4.756600e+02 -5.028199e+02
0 5788     8.265900e+02 1.629900e+02
7 5788     6.482200e+02 3.785000e+02
0 5789     7.236899e+02 1.616900e+02
2 5789     6.279800e+02 1.996100e+02
3 5789     4.830300e+02 -1.127100e+02
6 5789     5.602500e+02 3.604500e+02
7 5789     5.500601e+02 3.590200e+02
8 5789     5.767300e+02 1.315500e+02
9 5789     3.950500e+02 2.710500e+02
10 5789     7.369399e+02 4.075400e+02
12 5789     6.397400e+02 3.710800e+02
0 5790     5.599100e+02 1.606400e+02
2 5790     4.537000e+02 1.212800e+02
6 5790     3.638900e+02 2.999900e+02
7 5790     3.906000e+02 3.271700e+02
9 5790     2.501100e+02 1.989700e+02
12 5790     4.477900e+02 3.088300e+02
15 5790     7.333600e+02 4.371800e+02
0 5791     -4.833700e+02 1.598600e+02
7 5791     -6.624600e+02 1.577900e+02
10 5791     -6.844200e+02 2.814000e+02
0 5792     5.814600e+02 1.593400e+02
6 5792     3.899500e+02 3.062600e+02
9 5792     2.694900e+02 2.075400e+02
12 5792     4.758600e+02 3.159200e+02
13 5792     7.838900e+02 -6.048999e+01
15 5792     7.627400e+02 4.382900e+02
0 5793     6.441200e+02 1.594100e+02
12 5793     5.489700e+02 3.398500e+02
0 5794     8.485400e+02 1.588800e+02
7 5794     6.689200e+02 3.783100e+02
0 5795     6.487000e+02 1.584900e+02
2 5795     5.515601e+02 1.622800e+02
3 5795     4.112000e+02 -1.509300e+02
6 5795     4.731300e+02 3.304600e+02
7 5795     4.781899e+02 3.419700e+02
8 5795     5.128700e+02 1.030300e+02
9 5795     3.315000e+02 2.369200e+02
10 5795     6.485100e+02 3.951800e+02
12 5795     5.550300e+02 3.404500e+02
15 5795     8.580300e+02 4.478600e+02
0 5796     6.938500e+02 1.586200e+02
7 5796     5.220800e+02 3.508600e+02
0 5797     6.550699e+02 1.567800e+02
6 5797     4.809900e+02 3.310300e+02
10 5797     6.558400e+02 3.937600e+02
0 5798     6.389800e+02 1.550000e+02
7 5798     4.689301e+02 3.368900e+02
10 5798     6.374800e+02 3.898600e+02
15 5798     8.440900e+02 4.414400e+02
0 5799     7.342300e+02 1.549400e+02
2 5799     6.409399e+02 1.979700e+02
3 5799     4.957900e+02 -1.135100e+02
7 5799     5.616300e+02 3.545200e+02
9 5799     4.065200e+02 2.702000e+02
0 5800     6.587700e+02 1.541400e+02
10 5800     6.607500e+02 3.911600e+02
12 5800     5.685200e+02 3.384600e+02
15 5800     8.724600e+02 4.435100e+02
0 5801     6.552700e+02 1.537000e+02
2 5801     5.595200e+02 1.607800e+02
6 5801     4.817800e+02 3.277400e+02
7 5801     4.848600e+02 3.389600e+02
8 5801     5.194800e+02 1.018000e+02
9 5801     3.377600e+02 2.360800e+02
10 5801     6.560500e+02 3.906900e+02
15 5801     8.672700e+02 4.425800e+02
0 5802     6.552700e+02 1.537000e+02
2 5802     5.595200e+02 1.607800e+02
7 5802     4.848600e+02 3.389600e+02
9 5802     3.377600e+02 2.360800e+02
10 5802     6.560500e+02 3.906900e+02
0 5803     7.150400e+02 1.522900e+02
2 5803     6.218300e+02 1.865800e+02
6 5803     5.526400e+02 3.473500e+02
7 5803     5.431600e+02 3.483500e+02
10 5803     7.273600e+02 3.953600e+02
12 5803     6.324200e+02 3.579400e+02
0 5804     7.282500e+02 1.527300e+02
3 5804     4.904600e+02 -1.184200e+02
9 5804     4.017800e+02 2.652000e+02
10 5804     7.430100e+02 3.975500e+02
0 5805     8.371801e+02 1.514800e+02
7 5805     6.596600e+02 3.694700e+02
0 5806     8.813900e+02 1.517600e+02
2 5806     7.827900e+02 2.570800e+02
7 5806     7.002600e+02 3.774800e+02
0 5807     5.981801e+02 1.510800e+02
2 5807     4.987300e+02 1.299600e+02
3 5807     3.611200e+02 -1.839000e+02
6 5807     4.135900e+02 3.033600e+02
9 5807     2.876300e+02 2.080000e+02
15 5807     7.879200e+02 4.293700e+02
0 5808     7.490601e+02 1.512900e+02
2 5808     6.582700e+02 2.032300e+02
3 5808     5.122500e+02 -1.079700e+02
7 5808     5.769000e+02 3.539900e+02
9 5808     4.211700e+02 2.749100e+02
0 5809     6.561400e+02 1.498200e+02
3 5809     4.210500e+02 -1.555100e+02
10 5809     6.579500e+02 3.860800e+02
15 5809     8.694900e+02 4.367300e+02
0 5810     6.645100e+02 1.499900e+02
6 5810     4.939500e+02 3.271100e+02
7 5810     4.945800e+02 3.367600e+02
8 5810     5.293199e+02 1.019000e+02
10 5810     6.675400e+02 3.870900e+02
0 5811     6.891600e+02 1.489800e+02
2 5811     5.964399e+02 1.720600e+02
7 5811     5.186200e+02 3.405400e+02
10 5811     6.962300e+02 3.883800e+02
0 5812     6.516100e+02 1.484600e+02
7 5812     4.815400e+02 3.329500e+02
0 5813     7.181000e+02 1.484400e+02
2 5813     6.261100e+02 1.843500e+02
6 5813     5.576300e+02 3.440800e+02
7 5813     5.471000e+02 3.450400e+02
10 5813     7.310500e+02 3.914400e+02
12 5813     6.372600e+02 3.545500e+02
0 5814     7.422600e+02 1.482200e+02
2 5814     6.504399e+02 1.951700e+02
3 5814     5.048600e+02 -1.161100e+02
6 5814     5.849500e+02 3.526300e+02
7 5814     5.700300e+02 3.494600e+02
8 5814     5.950800e+02 1.275100e+02
9 5814     4.138600e+02 2.680600e+02
10 5814     7.600800e+02 3.934200e+02
12 5814     6.640200e+02 3.634700e+02
0 5815     8.664600e+02 1.484200e+02
2 5815     7.706000e+02 2.480800e+02
0 5816     -1.102400e+02 1.459200e+02
3 5816     -3.850700e+02 -4.165500e+02
6 5816     -4.387700e+02 6.117999e+01
0 5817     -1.102400e+02 1.459200e+02
6 5817     -4.387700e+02 6.117999e+01
0 5818     6.701000e+02 1.459500e+02
6 5818     5.015900e+02 3.245400e+02
7 5818     4.998000e+02 3.341900e+02
0 5819     2.232100e+02 1.455000e+02
7 5819     1.014100e+02 2.853700e+02
10 5819     1.512000e+02 3.336000e+02
15 5819     2.541801e+02 3.671400e+02
0 5820     7.504900e+02 1.455100e+02
2 5820     6.596899e+02 1.964100e+02
3 5820     5.140900e+02 -1.145700e+02
7 5820     5.788000e+02 3.482300e+02
9 5820     4.220000e+02 2.693600e+02
10 5820     7.697000e+02 3.913200e+02
12 5820     6.743900e+02 3.636700e+02
0 5821     1.458000e+02 1.450500e+02
12 5821     8.332001e+01 2.596000e+02
14 5821     6.654600e+02 -5.831000e+02
15 5821     1.470100e+02 3.558500e+02
0 5822     7.198900e+02 1.446000e+02
2 5822     6.285900e+02 1.816300e+02
6 5822     5.601200e+02 3.405900e+02
7 5822     5.488400e+02 3.419200e+02
8 5822     5.776801e+02 1.163200e+02
9 5822     3.964900e+02 2.555500e+02
10 5822     7.332600e+02 3.870400e+02
12 5822     6.388400e+02 3.517500e+02
0 5823     5.892100e+02 1.446600e+02
2 5823     4.897300e+02 1.189900e+02
0 5824     6.452400e+02 1.449100e+02
2 5824     5.510100e+02 1.467500e+02
6 5824     4.721801e+02 3.141000e+02
7 5824     4.762600e+02 3.281000e+02
12 5824     5.543900e+02 3.237500e+02
13 5824     8.504000e+02 -6.410999e+01
15 5824     8.546600e+02 4.283200e+02
0 5825     8.579500e+02 1.445300e+02
3 5825     6.087200e+02 -6.894000e+01
7 5825     6.794800e+02 3.666300e+02
9 5825     5.072400e+02 3.099200e+02
12 5825     7.926801e+02 4.008100e+02
0 5826     1.417900e+02 1.438400e+02
2 5826     2.046801e+02 1.631400e+02
3 5826     1.000600e+02 -1.545300e+02
6 5826     4.091998e+01 2.114700e+02
9 5826     5.717999e+01 2.234100e+02
10 5826     5.653003e+01 3.234200e+02
0 5827     8.213199e+02 1.436900e+02
2 5827     7.294500e+02 2.254000e+02
3 5827     5.782500e+02 -8.473999e+01
9 5827     4.795400e+02 2.959100e+02
0 5828     8.213199e+02 1.436900e+02
2 5828     7.294500e+02 2.254000e+02
3 5828     5.782500e+02 -8.473999e+01
7 5828     6.459800e+02 3.594300e+02
0 5829     5.340200e+02 1.423500e+02
7 5829     3.662700e+02 3.050800e+02
15 5829     6.982800e+02 4.078900e+02
0 5830     -4.520400e+02 1.405000e+02
7 5830     -6.243500e+02 1.436700e+02
0 5831     8.489100e+02 1.402900e+02
3 5831     6.026899e+02 -7.651001e+01
7 5831     6.719700e+02 3.609300e+02
0 5832     -4.542000e+02 1.386400e+02
5 5832     -5.481000e+01 -5.418101e+02
0 5833     6.759900e+02 1.383500e+02
2 5833     5.857100e+02 1.554300e+02
6 5833     5.108700e+02 3.184300e+02
7 5833     5.074500e+02 3.277400e+02
8 5833     5.412600e+02 9.659000e+01
9 5833     3.609100e+02 2.323400e+02
10 5833     6.820699e+02 3.746100e+02
12 5833     5.916600e+02 3.286000e+02
0 5834     8.695000e+02 1.385300e+02
9 5834     5.174399e+02 3.101800e+02
0 5835     -4.004999e+01 1.372700e+02
5 5835     5.435500e+02 -5.210300e+02
6 5835     -1.760000e+02 1.428200e+02
7 5835     -1.602600e+02 2.355900e+02
9 5835     -1.144200e+02 1.703900e+02
10 5835     -1.547700e+02 2.970000e+02
12 5835     -1.376000e+02 1.955400e+02
13 5835     2.989600e+02 -1.146300e+02
15 5835     -1.048200e+02 3.185800e+02
0 5836     -8.840027e+00 1.377300e+02
7 5836     -1.253900e+02 2.434200e+02
10 5836     -1.184600e+02 3.006400e+02
15 5836     -6.337000e+01 3.239500e+02
0 5837     7.030500e+02 1.373300e+02
6 5837     5.426700e+02 3.266800e+02
12 5837     6.225100e+02 3.375500e+02
0 5838     5.432800e+02 1.356200e+02
7 5838     3.763900e+02 2.997400e+02
0 5839     8.033700e+02 1.357100e+02
2 5839     7.154200e+02 2.113000e+02
3 5839     5.656700e+02 -9.851001e+01
7 5839     6.300601e+02 3.487500e+02
0 5840     7.045400e+02 1.344500e+02
2 5840     6.163300e+02 1.645800e+02
3 5840     4.736700e+02 -1.463200e+02
6 5840     5.453500e+02 3.243100e+02
0 5841     7.045400e+02 1.344500e+02
3 5841     4.736700e+02 -1.463200e+02
6 5841     5.453500e+02 3.243100e+02
8 5841     5.666000e+02 1.031700e+02
9 5841     3.861600e+02 2.410700e+02
0 5842     7.075601e+02 1.342300e+02
2 5842     6.194900e+02 1.657100e+02
3 5842     4.765400e+02 -1.453400e+02
6 5842     5.488400e+02 3.250300e+02
10 5842     7.195100e+02 3.726400e+02
12 5842     6.285200e+02 3.346500e+02
0 5843     2.097998e+01 1.341400e+02
5 5843     6.305601e+02 -5.200800e+02
6 5843     -8.151999e+01 1.668000e+02
10 5843     -8.325000e+01 2.996100e+02
12 5843     -5.115002e+01 2.199200e+02
15 5843     -2.288000e+01 3.231700e+02
0 5844     8.018300e+02 1.333600e+02
2 5844     7.150300e+02 2.085700e+02
7 5844     6.291700e+02 3.462200e+02
0 5845     5.422400e+02 1.329800e+02
2 5845     4.396899e+02 8.328998e+01
6 5845     3.475500e+02 2.615900e+02
10 5845     5.247100e+02 3.540700e+02
15 5845     7.107800e+02 3.956300e+02
0 5846     7.231100e+02 1.322700e+02
2 5846     6.359301e+02 1.711100e+02
7 5846     5.537300e+02 3.305300e+02
8 5846     5.831899e+02 1.079700e+02
9 5846     4.025601e+02 2.474300e+02
10 5846     7.382600e+02 3.725600e+02
0 5847     -4.580000e+02 1.314800e+02
7 5847     -6.280700e+02 1.338700e+02
0 5848     7.696200e+02 1.316400e+02
2 5848     6.826200e+02 1.919000e+02
3 5848     5.357600e+02 -1.180400e+02
7 5848     5.983000e+02 3.386400e+02
9 5848     4.412400e+02 2.662800e+02
10 5848     7.936700e+02 3.768000e+02
12 5848     6.991600e+02 3.557400e+02
0 5849     7.171801e+02 1.312500e+02
7 5849     5.481600e+02 3.285300e+02
10 5849     7.310601e+02 3.703900e+02
0 5850     7.374900e+02 1.311700e+02
2 5850     6.507700e+02 1.768200e+02
6 5850     5.842400e+02 3.324800e+02
7 5850     5.677500e+02 3.322900e+02
10 5850     7.556600e+02 3.729000e+02
12 5850     6.632000e+02 3.436500e+02
0 5851     7.374900e+02 1.311700e+02
7 5851     5.677500e+02 3.322900e+02
10 5851     7.556600e+02 3.729000e+02
0 5852     7.793400e+02 1.295500e+02
2 5852     6.940601e+02 1.969200e+02
9 5852     4.508300e+02 2.704900e+02
10 5852     8.049500e+02 3.760800e+02
0 5853     -3.369995e+00 1.295600e+02
6 5853     -1.123300e+02 1.527000e+02
12 5853     -8.154999e+01 2.060400e+02
0 5854     7.082000e+02 1.289500e+02
7 5854     5.396300e+02 3.245900e+02
0 5855     7.082000e+02 1.289500e+02
7 5855     5.396300e+02 3.245900e+02
0 5856     7.738400e+02 1.290400e+02
2 5856     6.877300e+02 1.913000e+02
3 5856     5.405400e+02 -1.183400e+02
9 5856     4.453000e+02 2.658800e+02
10 5856     7.990800e+02 3.742200e+02
12 5856     7.045900e+02 3.545000e+02
0 5857     8.684301e+02 1.289500e+02
2 5857     7.780601e+02 2.316300e+02
12 5857     8.086801e+02 3.882000e+02
0 5858     8.684301e+02 1.289500e+02
2 5858     7.780601e+02 2.316300e+02
12 5858     8.086801e+02 3.882000e+02
0 5859     -4.389300e+02 1.286700e+02
7 5859     -6.076400e+02 1.343700e+02
0 5860     -5.127002e+01 1.284200e+02
7 5860     -1.703500e+02 2.244500e+02
8 5860     3.300000e+01 3.438000e+01
9 5860     -1.226000e+02 1.581600e+02
12 5860     -1.489900e+02 1.813900e+02
15 5860     -1.186700e+02 3.049800e+02
0 5861     -5.127002e+01 1.284200e+02
7 5861     -1.703500e+02 2.244500e+02
10 5861     -1.670000e+02 2.860800e+02
12 5861     -1.489900e+02 1.813900e+02
15 5861     -1.186700e+02 3.049800e+02
0 5862     6.927300e+02 1.284700e+02
6 5862     5.325100e+02 3.135200e+02
0 5863     8.307200e+02 1.285800e+02
7 5863     6.563700e+02 3.465600e+02
0 5864     7.459900e+02 1.281800e+02
2 5864     6.601700e+02 1.776600e+02
3 5864     5.154399e+02 -1.321900e+02
9 5864     4.231300e+02 2.535700e+02
10 5864     7.656801e+02 3.703000e+02
12 5864     6.734100e+02 3.434100e+02
0 5865     7.109600e+02 1.276800e+02
2 5865     6.246700e+02 1.610900e+02
6 5865     5.544700e+02 3.193600e+02
7 5865     5.426400e+02 3.240200e+02
10 5865     7.239100e+02 3.657800e+02
12 5865     6.338400e+02 3.297900e+02
0 5866     -4.958800e+02 1.268700e+02
7 5866     -6.679100e+02 1.228700e+02
0 5867     8.055000e+02 1.260400e+02
2 5867     7.201100e+02 2.024200e+02
0 5868     -2.255600e+02 1.255100e+02
6 5868     -5.743000e+02 -9.500122e-01
7 5868     -3.826100e+02 1.664200e+02
10 5868     -3.707000e+02 2.661100e+02
15 5868     -3.436200e+02 2.756100e+02
0 5869     8.520020e+00 1.239800e+02
6 5869     -9.226999e+01 1.518000e+02
7 5869     -1.032900e+02 2.343000e+02
12 5869     -6.308002e+01 2.056100e+02
15 5869     -3.873999e+01 3.073300e+02
0 5870     8.520020e+00 1.239800e+02
6 5870     -9.226999e+01 1.518000e+02
7 5870     -1.032900e+02 2.343000e+02
12 5870     -6.308002e+01 2.056100e+02
15 5870     -3.873999e+01 3.073300e+02
0 5871     7.973600e+02 1.240500e+02
7 5871     6.261801e+02 3.366900e+02
10 5871     8.272100e+02 3.709900e+02
0 5872     8.594000e+02 1.231600e+02
3 5872     6.175100e+02 -8.639001e+01
7 5872     6.837600e+02 3.465800e+02
9 5872     5.136700e+02 2.942500e+02
0 5873     6.338300e+02 1.226600e+02
2 5873     5.449700e+02 1.200700e+02
7 5873     4.678700e+02 3.049100e+02
9 5873     3.265601e+02 2.007100e+02
10 5873     6.331500e+02 3.507200e+02
13 5873     8.415400e+02 -8.496002e+01
0 5874     7.778000e+02 1.222700e+02
2 5874     6.936600e+02 1.864700e+02
3 5874     5.464100e+02 -1.226500e+02
7 5874     6.073900e+02 3.311200e+02
10 5874     8.039900e+02 3.667900e+02
12 5874     7.104600e+02 3.484700e+02
0 5875     7.019900e+02 1.217300e+02
6 5875     5.455500e+02 3.095900e+02
7 5875     5.348600e+02 3.165500e+02
12 5875     6.255100e+02 3.196200e+02
0 5876     5.715200e+02 1.209600e+02
3 5876     3.412600e+02 -2.269100e+02
6 5876     3.873100e+02 2.587100e+02
9 5876     2.697300e+02 1.701000e+02
12 5876     4.736000e+02 2.680000e+02
15 5876     7.530601e+02 3.830700e+02
0 5877     6.533700e+02 1.205600e+02
6 5877     4.887200e+02 2.905100e+02
7 5877     4.875500e+02 3.063500e+02
0 5878     8.223900e+02 1.200500e+02
7 5878     6.500800e+02 3.369400e+02
0 5879     8.313101e+02 1.199200e+02
9 5879     4.935601e+02 2.808700e+02
0 5880     8.313101e+02 1.199200e+02
2 5880     7.460300e+02 2.067500e+02
3 5880     5.946500e+02 -1.015200e+02
7 5880     6.582700e+02 3.381500e+02
9 5880     4.935601e+02 2.808700e+02
0 5881     6.516300e+02 1.185000e+02
2 5881     5.647500e+02 1.238400e+02
3 5881     4.261600e+02 -1.873900e+02
6 5881     4.867400e+02 2.875100e+02
7 5881     4.859399e+02 3.040300e+02
12 5881     5.683500e+02 2.973900e+02
15 5881     8.663199e+02 3.920700e+02
0 5882     6.516300e+02 1.185000e+02
2 5882     5.647500e+02 1.238400e+02
3 5882     4.261600e+02 -1.873900e+02
6 5882     4.867400e+02 2.875100e+02
7 5882     4.859399e+02 3.040300e+02
12 5882     5.683500e+02 2.973900e+02
15 5882     8.663199e+02 3.920700e+02
0 5883     6.630000e+02 1.184100e+02
2 5883     5.773400e+02 1.294100e+02
6 5883     5.006200e+02 2.922300e+02
7 5883     4.971801e+02 3.059200e+02
9 5883     3.542900e+02 2.106700e+02
10 5883     6.679600e+02 3.495500e+02
12 5883     5.820601e+02 3.023100e+02
13 5883     8.720000e+02 -8.484003e+01
0 5884     7.396600e+02 1.177200e+02
3 5884     5.126700e+02 -1.444100e+02
7 5884     5.717000e+02 3.197400e+02
0 5885     6.486801e+02 1.172900e+02
2 5885     5.624600e+02 1.219400e+02
6 5885     4.834399e+02 2.849600e+02
7 5885     4.833800e+02 3.023300e+02
9 5885     3.418199e+02 2.028200e+02
10 5885     6.511100e+02 3.468300e+02
12 5885     5.651300e+02 2.948400e+02
13 5885     8.574000e+02 -8.759003e+01
15 5885     8.621700e+02 3.897400e+02
0 5886     2.493500e+02 1.162200e+02
7 5886     1.350800e+02 2.634500e+02
10 5886     1.836400e+02 3.014100e+02
15 5886     2.922200e+02 3.307700e+02
0 5887     6.921700e+02 1.157200e+02
6 5887     5.355900e+02 2.992500e+02
7 5887     5.259700e+02 3.089900e+02
8 5887     5.599700e+02 8.334000e+01
9 5887     3.802600e+02 2.206400e+02
12 5887     6.153300e+02 3.091800e+02
0 5888     8.228700e+02 1.157000e+02
2 5888     7.391400e+02 1.996500e+02
7 5888     6.508700e+02 3.327700e+02
0 5889     7.839301e+02 1.147600e+02
2 5889     7.016801e+02 1.820200e+02
3 5889     5.544500e+02 -1.266400e+02
7 5889     6.143500e+02 3.250600e+02
9 5889     4.573500e+02 2.585500e+02
10 5889     8.117500e+02 3.586700e+02
12 5889     7.193700e+02 3.426400e+02
0 5890     -8.106000e+01 1.143500e+02
6 5890     -2.531000e+02 8.821002e+01
15 5890     -1.546000e+02 2.809700e+02
0 5891     7.105000e+02 1.146500e+02
6 5891     5.571500e+02 3.052000e+02
10 5891     7.242900e+02 3.504500e+02
12 5891     6.368000e+02 3.155000e+02
0 5892     8.776300e+02 1.128300e+02
9 5892     5.307800e+02 2.937700e+02
12 5892     8.231100e+02 3.742400e+02
0 5893     7.203500e+02 1.118000e+02
3 5893     4.966500e+02 -1.591200e+02
9 5893     4.075400e+02 2.295800e+02
10 5893     7.366600e+02 3.481400e+02
0 5894     6.465800e+02 1.117600e+02
2 5894     5.611600e+02 1.140100e+02
3 5894     4.231000e+02 -1.965100e+02
6 5894     4.821500e+02 2.776300e+02
7 5894     4.820300e+02 2.962500e+02
8 5894     5.208300e+02 6.362000e+01
10 5894     6.487000e+02 3.398600e+02
12 5894     5.640100e+02 2.875100e+02
15 5894     8.598600e+02 3.816200e+02
0 5895     7.899200e+02 1.115000e+02
2 5895     7.083199e+02 1.837500e+02
7 5895     6.202600e+02 3.230000e+02
9 5895     4.631801e+02 2.587400e+02
10 5895     8.191600e+02 3.551800e+02
0 5896     7.463700e+02 1.107900e+02
2 5896     6.659200e+02 1.617200e+02
3 5896     5.212600e+02 -1.474500e+02
7 5896     5.790400e+02 3.144000e+02
9 5896     4.275500e+02 2.399700e+02
10 5896     7.674000e+02 3.497800e+02
12 5896     6.785800e+02 3.248100e+02
0 5897     7.790300e+02 1.111800e+02
3 5897     5.513199e+02 -1.322600e+02
10 5897     8.060100e+02 3.535900e+02
12 5897     7.148800e+02 3.367400e+02
0 5898     7.790300e+02 1.111800e+02
3 5898     5.513199e+02 -1.322600e+02
10 5898     8.060100e+02 3.535900e+02
12 5898     7.148800e+02 3.367400e+02
0 5899     8.427000e+02 1.106900e+02
3 5899     6.077000e+02 -1.037900e+02
9 5899     5.047300e+02 2.790200e+02
0 5900     -2.649400e+02 1.080000e+02
5 5900     1.725400e+02 -5.783000e+02
15 5900     -3.951700e+02 2.465500e+02
0 5901     7.154700e+02 1.079200e+02
6 5901     5.652400e+02 2.998500e+02
10 5901     7.307300e+02 3.433400e+02
0 5902     8.107200e+02 1.078700e+02
7 5902     6.405900e+02 3.234500e+02
0 5903     -1.180200e+02 1.073900e+02
2 5903     -1.294200e+02 7.999878e-01
5 5903     4.213700e+02 -5.638199e+02
6 5903     -3.088300e+02 6.263000e+01
7 5903     -2.452000e+02 1.844900e+02
8 5903     -6.063000e+01 -3.185001e+01
10 5903     -2.421900e+02 2.546900e+02
12 5903     -2.495100e+02 1.147000e+02
15 5903     -2.025500e+02 2.664800e+02
0 5904     -1.180200e+02 1.073900e+02
3 5904     -2.235200e+02 -3.190100e+02
5 5904     4.213700e+02 -5.638199e+02
6 5904     -3.088300e+02 6.263000e+01
7 5904     -2.452000e+02 1.844900e+02
8 5904     -6.063000e+01 -3.185001e+01
10 5904     -2.421900e+02 2.546900e+02
12 5904     -2.495100e+02 1.147000e+02
15 5904     -2.025500e+02 2.664800e+02
0 5905     6.671000e+02 1.069500e+02
2 5905     5.851899e+02 1.199000e+02
6 5905     5.078300e+02 2.814500e+02
9 5905     3.603101e+02 2.029200e+02
10 5905     6.733900e+02 3.367100e+02
12 5905     5.889000e+02 2.914200e+02
13 5905     8.776200e+02 -9.396002e+01
0 5906     7.800500e+02 1.065600e+02
7 5906     6.119600e+02 3.166200e+02
10 5906     8.074900e+02 3.482400e+02
12 5906     7.171100e+02 3.323900e+02
0 5907     7.800500e+02 1.065600e+02
7 5907     6.119600e+02 3.166200e+02
10 5907     8.074900e+02 3.482400e+02
12 5907     7.171100e+02 3.323900e+02
0 5908     6.492400e+02 1.059300e+02
3 5908     4.272900e+02 -1.999700e+02
6 5908     4.869301e+02 2.727900e+02
9 5908     3.446200e+02 1.937600e+02
10 5908     6.526600e+02 3.334400e+02
12 5908     5.686899e+02 2.825200e+02
15 5908     8.640100e+02 3.740600e+02
0 5909     6.394200e+02 1.056300e+02
2 5909     5.554200e+02 1.040800e+02
3 5909     4.178400e+02 -2.064900e+02
0 5910     7.363400e+02 1.057500e+02
2 5910     6.568300e+02 1.518900e+02
0 5911     8.246500e+02 1.054600e+02
2 5911     7.437800e+02 1.912100e+02
3 5911     5.939399e+02 -1.155700e+02
7 5911     6.538101e+02 3.237500e+02
0 5912     7.753101e+02 1.047700e+02
2 5912     6.963800e+02 1.688800e+02
7 5912     6.075100e+02 3.140200e+02
0 5913     7.302000e+02 1.046200e+02
2 5913     6.510000e+02 1.479000e+02
3 5913     5.080000e+02 -1.612400e+02
7 5913     5.644600e+02 3.059000e+02
9 5913     4.157800e+02 2.287500e+02
10 5913     7.485500e+02 3.409200e+02
0 5914     -2.930100e+02 1.020500e+02
2 5914     -4.574500e+02 -1.615200e+02
5 5914     1.414900e+02 -5.846300e+02
7 5914     -4.469400e+02 1.328200e+02
10 5914     -4.480700e+02 2.313600e+02
15 5914     -4.332200e+02 2.344400e+02
0 5915     3.815997e+01 1.021400e+02
10 5915     -5.934003e+01 2.643200e+02
12 5915     -1.534998e+01 1.946300e+02
15 5915     3.919983e+00 2.818800e+02
0 5916     3.815997e+01 1.021400e+02
10 5916     -5.934003e+01 2.643200e+02
12 5916     -1.534998e+01 1.946300e+02
15 5916     3.919983e+00 2.818800e+02
0 5917     6.391700e+02 1.014000e+02
2 5917     5.566600e+02 1.006300e+02
3 5917     4.189500e+02 -2.097500e+02
6 5917     4.761500e+02 2.639300e+02
7 5917     4.761801e+02 2.850900e+02
8 5917     5.160900e+02 5.257999e+01
9 5917     3.373400e+02 1.854400e+02
10 5917     6.407800e+02 3.270800e+02
13 5917     8.499399e+02 -1.030500e+02
15 5917     8.506400e+02 3.661100e+02
0 5918     -1.219600e+02 1.009600e+02
6 5918     -3.085700e+02 5.414001e+01
12 5918     -2.509400e+02 1.069000e+02
0 5919     8.509000e+02 1.011800e+02
2 5919     7.701600e+02 1.986100e+02
3 5919     6.180400e+02 -1.083100e+02
7 5919     6.788500e+02 3.243000e+02
9 5919     5.131200e+02 2.744400e+02
12 5919     7.967500e+02 3.519100e+02
0 5920     6.489900e+02 9.754999e+01
2 5920     5.681700e+02 1.012300e+02
6 5920     4.891100e+02 2.628900e+02
10 5920     6.525000e+02 3.232100e+02
12 5920     5.702700e+02 2.725800e+02
0 5921     8.804800e+02 9.773001e+01
7 5921     7.068600e+02 3.267100e+02
0 5922     -6.382001e+01 9.664999e+01
3 5922     -9.146997e+01 -2.510300e+02
5 5922     5.267500e+02 -5.658600e+02
6 5922     -1.814500e+02 9.212000e+01
7 5922     -1.753600e+02 1.926100e+02
13 5922     2.863900e+02 -1.496700e+02
15 5922     -1.314900e+02 2.599000e+02
0 5923     7.407400e+02 9.675000e+01
3 5923     5.199100e+02 -1.635000e+02
0 5924     7.348900e+02 9.601999e+01
7 5924     5.701000e+02 2.981800e+02
10 5924     7.543000e+02 3.315000e+02
0 5925     7.695800e+02 9.612000e+01
3 5925     5.477400e+02 -1.498500e+02
7 5925     6.029200e+02 3.048000e+02
9 5925     4.508199e+02 2.379800e+02
10 5925     7.963300e+02 3.346100e+02
12 5925     7.085500e+02 3.170800e+02
0 5926     8.414900e+02 9.439999e+01
